iter	Passed	Remaining
959	62048	67219
960	62115	67157
961	62179	67091
962	62249	67032
963	62308	66961
964	62381	66906
965	62452	66848
966	62524	66791
967	62587	66725
968	62642	66650
969	62709	66588
970	62775	66524
971	62834	66454
972	62902	66393
973	62964	66325
974	63034	66266
975	63098	66201
976	63158	66131
977	63231	66076
978	63294	66009
979	63363	65949
980	63435	65893
981	63504	65833
982	63570	65768
983	63625	65694
984	63683	65623
985	63751	65562
986	63808	65489
987	63866	65417
988	63932	65354
989	63994	65287
990	64045	65209
991	64105	65139
992	64169	65074
993	64234	65009
994	64304	64950
995	64363	64880
996	64428	64816
997	64487	64745
998	64561	64690
999	64627	64627
1000	64685	64556
1001	64754	64495
1002	64817	64429
1003	64876	64359
1004	64937	64291
1005	65001	64226
1006	65069	64164
1007	65133	64099
1008	65196	64033
1009	65247	63955
1010	65313	63892
1011	65372	63822
1012	65445	63766
1013	65514	63705
1014	65577	63639
1015	65640	63572
1016	65715	63518
1017	65782	63456
1018	65839	63384
1019	65903	63319
1020	65968	63254
1021	66033	63190
1022	66112	63139
1023	66172	63071
1024	66247	63016
1025	66311	62950
1026	66382	62891
1027	66451	62831
1028	66512	62763
1029	66584	62706
1030	66647	62639
1031	66717	62580
1032	66787	62520
1033	66858	62461
1034	66925	62398
1035	66993	62337
1036	67062	62276
1037	67126	62211
1038	67195	62151
1039	67261	62087
1040	67333	62029
1041	67405	61971
1042	67470	61907
1043	67545	61852
1044	67611	61788
1045	67683	61730
1046	67741	61659
1047	67808	61597
1048	67863	61523
1049	67932	61462
1050	67993	61394
1051	68055	61327
1052	68119	61262
1053	68175	61190
1054	68246	61130
1055	68305	61060
1056	68367	60994
1057	68436	60933
1058	68496	60864
1059	68570	60807
1060	68639	60747
1061	68707	60685
1062	68774	60622
1063	68834	60553
1064	68892	60483
1065	68961	60422
1066	69030	60361
1067	69096	60297
1068	69164	60235
1069	69236	60177
1070	69294	60106
1071	69357	60040
1072	69424	59977
1073	69494	59917
1074	69561	59855
1075	69633	59796
1076	69705	59738
1077	69778	59680
1078	69835	59608
1079	69899	59544
1080	69958	59474
1081	70018	59405
1082	70104	59358
1083	70181	59304
1084	70245	59239
1085	70317	59180
1086	70393	59125
1087	70470	59070
1088	70544	59013
1089	70613	58952
1090	70684	58892
1091	70760	58837
1092	70831	58777
1093	70909	58724
1094	70988	58670
1095	71058	58609
1096	71125	58547
1097	71194	58486
1098	71285	58442
1099	71355	58381
1100	71430	58325
1101	71504	58267
1102	71569	58202
1103	71642	58145
1104	71710	58082
1105	71831	58062
1106	71907	58006
1107	71983	57950
1108	72063	57897
1109	72128	57832
1110	72207	57778
1111	72280	57720
1112	72355	57663
1113	72418	57596
1114	72482	57531
1115	72550	57468
1116	72608	57398
1117	72682	57340
1118	72751	57277
1119	72812	57209
1120	72885	57151
1121	72948	57084
1122	73023	57027
1123	73099	56970
1124	73165	56906
1125	73228	56839
1126	73297	56777
1127	73359	56710
1128	73428	56648
1129	73489	56580
1130	73542	56505
1131	73617	56448
1132	73683	56384
1133	73746	56317
1134	73821	56260
1135	73895	56202
1136	73971	56145
1137	74030	56076
1138	74093	56009
1139	74165	55949
1140	74231	55884
1141	74292	55817
1142	74358	55752
1143	74425	55689
1144	74498	55630
1145	74561	55563
1146	74627	55498
1147	74690	55432
1148	74750	55363
1149	74822	55303
1150	74890	55240
1151	74955	55175
1152	75017	55108
1153	75076	55038
1154	75151	54981
1155	75210	54911
1156	75278	54848
1157	75338	54779
1158	75405	54715
1159	75468	54649
1160	75537	54587
1161	75608	54526
1162	75670	54459
1163	75730	54390
1164	75804	54331
1165	75873	54269
1166	75936	54203
1167	76006	54141
1168	76081	54083
1169	76152	54022
1170	76209	53951
1171	76265	53880
1172	76335	53818
1173	76406	53758
1174	76484	53702
1175	76555	53641
1176	76618	53574
1177	76676	53504
1178	76730	53431
1179	76797	53367
1180	76866	53305
1181	76924	53235
1182	76993	53172
1183	77062	53110
1184	77127	53045
1185	77182	52973
1186	77239	52903
1187	77317	52846
1188	77384	52782
1189	77453	52720
1190	77524	52659
1191	77595	52597
1192	77654	52529
1193	77709	52457
1194	77780	52396
1195	77852	52335
1196	77902	52260
1197	77964	52193
1198	78022	52123
1199	78080	52053
1200	78141	51985
1201	78203	51918
1202	78260	51848
1203	78323	51781
1204	78390	51718
1205	78455	51653
1206	78516	51585
1207	78587	51524
1208	78653	51459
1209	78714	51391
1210	78776	51325
1211	78847	51263
1212	78906	51195
1213	78969	51128
1214	79036	51064
1215	79106	51003
1216	79161	50931
1217	79230	50868
1218	79283	50796
1219	79358	50737
1220	79418	50669
1221	79488	50607
1222	79557	50544
1223	79621	50478
1224	79685	50413
1225	79750	50348
1226	79803	50275
1227	79877	50216
1228	79935	50146
1229	80003	50083
1230	80063	50015
1231	80140	49957
1232	80200	49889
1233	80258	49820
1234	80319	49752
1235	80373	49680
1236	80435	49613
1237	80501	49549
1238	80575	49489
1239	80636	49422
1240	80699	49356
1241	80760	49288
1242	80828	49225
1243	80906	49167
1244	80974	49104
1245	81035	49037
1246	81104	48974
1247	81172	48911
1248	81226	48839
1249	81295	48777
1250	81358	48711
1251	81419	48643
1252	81476	48573
1253	81543	48510
1254	81612	48447
1255	81674	48380
1256	81747	48320
1257	81813	48255
1258	81877	48189
1259	81944	48126
1260	82017	48065
1261	82077	47997
1262	82147	47935
1263	82222	47876
1264	82286	47810
1265	82354	47747
1266	82426	47686
1267	82484	47617
1268	82555	47555
1269	82621	47490
1270	82693	47430
1271	82752	47361
1272	82820	47298
1273	82882	47231
1274	82940	47162
1275	83009	47099
1276	83078	47036
1277	83149	46975
1278	83213	46909
1279	83274	46841
1280	83345	46780
1281	83412	46716
1282	83469	46646
1283	83530	46579
1284	83599	46516
1285	83659	46448
1286	83724	46383
1287	83791	46319
1288	83851	46251
1289	83917	46186
1290	83984	46123
1291	84051	46059
1292	84112	45992
1293	84178	45927
1294	84236	45858
1295	84295	45790
1296	84358	45724
1297	84428	45661
1298	84483	45591
1299	84548	45526
1300	84630	45470
1301	84700	45407
1302	84769	45344
1303	84840	45282
1304	84898	45214
1305	84964	45149
1306	85024	45081
1307	85086	45015
1308	85151	44949
1309	85230	44892
1310	85291	44825
1311	85359	44761
1312	85426	44697
1313	85487	44630
1314	85564	44571
1315	85621	44502
1316	85678	44433
1317	85740	44366
1318	85798	44297
1319	85862	44232
1320	85920	44163
1321	85994	44103
1322	86058	44037
1323	86125	43973
1324	86195	43910
1325	86250	43840
1326	86311	43773
1327	86365	43702
1328	86430	43637
1329	86494	43572
1330	86553	43504
1331	86622	43441
1332	86681	43373
1333	86736	43303
1334	86806	43240
1335	86866	43173
1336	86923	43104
1337	86983	43036
1338	87045	42970
1339	87120	42909
1340	87181	42842
1341	87252	42781
1342	87309	42712
1343	87365	42642
1344	87424	42574
1345	87485	42507
1346	87547	42441
1347	87606	42373
1348	87667	42306
1349	87737	42243
1350	87804	42179
1351	87858	42109
1352	87919	42042
1353	87985	41978
1354	88047	41911
1355	88115	41848
1356	88181	41783
1357	88248	41719
1358	88311	41653
1359	88382	41591
1360	88451	41528
1361	88512	41461
1362	88575	41395
1363	88632	41327
1364	88699	41263
1365	88756	41194
1366	88822	41129
1367	88889	41065
1368	88956	41001
1369	89012	40932
1370	89081	40869
1371	89149	40806
1372	89209	40738
1373	89274	40673
1374	89339	40608
1375	89410	40546
1376	89480	40483
1377	89532	40413
1378	89587	40343
1379	89652	40278
1380	89700	40206
1381	89762	40139
1382	89830	40076
1383	89899	40013
1384	89950	39941
1385	90006	39873
1386	90066	39805
1387	90129	39740
1388	90189	39672
1389	90250	39606
1390	90317	39542
1391	90388	39479
1392	90456	39416
1393	90527	39354
1394	90596	39291
1395	90657	39224
1396	90718	39157
1397	90777	39089
1398	90843	39025
1399	90916	38964
1400	90989	38902
1401	91058	38839
1402	91117	38772
1403	91174	38703
1404	91238	38638
1405	91306	38574
1406	91362	38505
1407	91434	38444
1408	91501	38380
1409	91571	38317
1410	91634	38251
1411	91713	38192
1412	91775	38126
1413	91843	38062
1414	91906	37996
1415	91973	37932
1416	92028	37863
1417	92090	37797
1418	92144	37727
1419	92215	37665
1420	92277	37599
1421	92343	37534
1422	92409	37470
1423	92481	37408
1424	92543	37342
1425	92603	37275
1426	92670	37211
1427	92739	37147
1428	92807	37084
1429	92858	37013
1430	92925	36949
1431	92980	36880
1432	93039	36813
1433	93109	36750
1434	93183	36688
1435	93258	36628
1436	93329	36565
1437	93381	36495
1438	93450	36431
1439	93514	36366
1440	93577	36300
1441	93641	36235
1442	93699	36168
1443	93765	36103
1444	93830	36038
1445	93897	35974
1446	93956	35907
1447	94021	35842
1448	94080	35775
1449	94139	35707
1450	94203	35642
1451	94262	35575
1452	94326	35510
1453	94396	35447
1454	94461	35382
1455	94537	35321
1456	94600	35256
1457	94664	35190
1458	94731	35126
1459	94802	35063
1460	94870	35000
1461	94933	34934
1462	94988	34865
1463	95055	34801
1464	95116	34735
1465	95186	34672
1466	95260	34610
1467	95332	34548
1468	95404	34485
1469	95466	34420
1470	95537	34357
1471	95612	34295
1472	95683	34233
1473	95743	34166
1474	95801	34098
1475	95855	34030
1476	95927	33967
1477	95997	33904
1478	96054	33836
1479	96110	33768
1480	96168	33701
1481	96222	33632
1482	96296	33570
1483	96355	33503
1484	96423	33439
1485	96488	33374
1486	96543	33306
1487	96609	33242
1488	96669	33175
1489	96737	33111
1490	96795	33044
1491	96873	32983
1492	96963	32927
1493	97028	32862
1494	97100	32799
1495	97156	32731
1496	97210	32663
1497	97284	32601
1498	97380	32546
1499	97451	32483
1500	97546	32428
1501	97616	32365
1502	97705	32308
1503	97779	32246
1504	97854	32184
1505	97921	32120
1506	97995	32058
1507	98058	31992
1508	98114	31924
1509	98182	31860
1510	98264	31800
1511	98330	31736
1512	98398	31672
1513	98465	31607
1514	98538	31545
1515	98596	31477
1516	98674	31417
1517	98745	31353
1518	98830	31295
1519	98914	31236
1520	98981	31171
1521	99057	31110
1522	99128	31046
1523	99189	30980
1524	99257	30916
1525	99326	30852
1526	99388	30786
1527	99473	30727
1528	99537	30662
1529	99624	30603
1530	99711	30545
1531	99781	30481
1532	99855	30419
1533	99927	30355
1534	99986	30289
1535	100058	30226
1536	100135	30164
1537	100211	30102
1538	100300	30044
1539	100372	29981
1540	100464	29924
1541	100533	29860
1542	100609	29798
1543	100675	29733
1544	100746	29669
1545	100809	29603
1546	100870	29537
1547	100938	29473
1548	100997	29405
1549	101069	29342
1550	101131	29276
1551	101203	29213
1552	101273	29149
1553	101346	29086
1554	101422	29024
1555	101492	28960
1556	101550	28893
1557	101611	28827
1558	101684	28763
1559	101748	28698
1560	101811	28632
1561	101885	28569
1562	101955	28505
1563	102022	28441
1564	102084	28374
1565	102149	28309
1566	102216	28244
1567	102282	28179
1568	102340	28112
1569	102408	28048
1570	102478	27984
1571	102535	27916
1572	102597	27850
1573	102662	27785
1574	102718	27717
1575	102790	27654
1576	102852	27588
1577	102913	27521
1578	102979	27456
1579	103049	27392
1580	103117	27328
1581	103184	27263
1582	103254	27199
1583	103315	27133
1584	103415	27077
1585	103472	27009
1586	103532	26943
1587	103596	26877
1588	103660	26812
1589	103717	26744
1590	103786	26680
1591	103854	26615
1592	103925	26552
1593	103989	26486
1594	104052	26420
1595	104120	26356
1596	104182	26290
1597	104245	26224
1598	104303	26157
1599	104375	26093
1600	104447	26030
1601	104514	25965
1602	104582	25900
1603	104655	25837
1604	104722	25772
1605	104782	25706
1606	104858	25643
1607	104929	25579
1608	104993	25514
1609	105063	25450
1610	105131	25385
1611	105186	25317
1612	105252	25252
1613	105317	25187
1614	105375	25120
1615	105433	25053
1616	105506	24990
1617	105572	24925
1618	105648	24862
1619	105717	24797
1620	105776	24731
1621	105833	24664
1622	105904	24600
1623	105962	24533
1624	106023	24467
1625	106092	24402
1626	106169	24339
1627	106231	24274
1628	106302	24209
1629	106374	24146
1630	106443	24081
1631	106502	24015
1632	106572	23951
1633	106645	23887
1634	106712	23822
1635	106780	23758
1636	106838	23691
1637	106908	23626
1638	106984	23563
1639	107049	23498
1640	107111	23432
1641	107177	23367
1642	107246	23303
1643	107317	23239
1644	107389	23175
1645	107450	23109
1646	107509	23042
1647	107577	22977
1648	107643	22912
1649	107715	22848
1650	107795	22786
1651	107866	22722
1652	107935	22657
1653	108007	22594
1654	108071	22528
1655	108138	22463
1656	108210	22399
1657	108269	22333
1658	108342	22269
1659	108403	22203
1660	108472	22138
1661	108533	22072
1662	108596	22006
1663	108661	21941
